country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,year,month,day,hour,day_name,pollutant_range,pollution_category
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",,28.594169,77.1251,PM2.5,20.0,58.0,36.0,,,,,,,38.0,Satisfactory
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",,28.594169,77.1251,NH3,1.0,3.0,2.0,,,,,,,2.0,Unknown
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",,28.615828,77.271992,NO2,9.0,103.0,53.0,,,,,,,94.0,Unknown
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",,28.615828,77.271992,CO,30.0,76.0,38.0,,,,,,,46.0,Unknown
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",,25.599486,85.113666,NH3,2.0,3.0,3.0,,,,,,,1.0,Unknown
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",,25.599486,85.113666,SO2,8.0,16.0,13.0,,,,,,,8.0,Unknown
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,PM10,50.0,69.0,62.0,,,,,,,19.0,Satisfactory
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,NO2,5.0,7.0,6.0,,,,,,,2.0,Unknown
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,SO2,17.0,17.0,17.0,,,,,,,0.0,Unknown
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,PM10,29.0,94.0,58.0,,,,,,,65.0,Satisfactory
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,NH3,3.0,3.0,3.0,,,,,,,0.0,Unknown
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,CO,34.0,52.0,42.0,,,,,,,18.0,Unknown
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",,28.54246,77.191651,PM10,66.0,323.0,162.0,,,,,,,257.0,Moderate
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",,28.54246,77.191651,CO,16.0,57.0,22.0,,,,,,,41.0,Unknown
India,Delhi,Delhi,"ITO, Delhi - CPCB",,28.628624,77.24106,NO2,14.0,96.0,49.0,,,,,,,82.0,Unknown
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",,28.5627763,77.1180053,CO,22.0,62.0,29.0,,,,,,,40.0,Unknown
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",,28.5627763,77.1180053,OZONE,15.0,71.0,62.0,,,,,,,56.0,Unknown
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,NH3,4.0,15.0,11.0,,,,,,,11.0,Unknown
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,SO2,23.0,37.0,30.0,,,,,,,14.0,Unknown
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,OZONE,12.0,28.0,23.0,,,,,,,16.0,Unknown
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,28.531346,77.190156,PM2.5,,,,,,,,,,,Unknown
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,28.531346,77.190156,PM10,,,,,,,,,,,Unknown
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",,28.62181,77.1944633,PM10,88.0,252.0,139.0,,,,,,,164.0,Moderate
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",,28.62181,77.1944633,NH3,3.0,9.0,5.0,,,,,,,6.0,Unknown
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",,28.62181,77.1944633,OZONE,7.0,35.0,32.0,,,,,,,28.0,Unknown
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,NO2,26.0,113.0,60.0,,,,,,,87.0,Unknown
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,OZONE,17.0,73.0,65.0,,,,,,,56.0,Unknown
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",,28.699793,77.165453,NH3,7.0,12.0,9.0,,,,,,,5.0,Unknown
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",,23.243639,72.68994,OZONE,2.0,25.0,19.0,,,,,,,23.0,Unknown
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",,23.59315,72.372792,PM2.5,14.0,124.0,54.0,,,,,,,110.0,Satisfactory
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",,22.410802,73.097923,NO2,18.0,312.0,87.0,,,,,,,294.0,Unknown
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro",,22.248853,70.776774,PM2.5,29.0,135.0,67.0,,,,,,,106.0,Moderate
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro",,22.248853,70.776774,CO,89.0,98.0,91.0,,,,,,,9.0,Unknown
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",,21.217779,72.834787,PM2.5,15.0,89.0,55.0,,,,,,,74.0,Satisfactory
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",,21.217779,72.834787,CO,39.0,54.0,40.0,,,,,,,15.0,Unknown
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",,21.217779,72.834787,OZONE,11.0,12.0,12.0,,,,,,,1.0,Unknown
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",,23.107969,72.574648,PM10,66.0,164.0,102.0,,,,,,,98.0,Moderate
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",,23.107969,72.574648,NO2,5.0,111.0,24.0,,,,,,,106.0,Unknown
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",,22.977134,72.553024,PM10,69.0,269.0,123.0,,,,,,,200.0,Moderate
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",,22.977134,72.553024,CO,1.0,46.0,2.0,,,,,,,45.0,Unknown
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",,23.002657,72.591912,NO2,81.0,87.0,85.0,,,,,,,6.0,Unknown
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",,23.020509,72.579261,CO,14.0,110.0,28.0,,,,,,,96.0,Unknown
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",,23.016834,72.625775,SO2,6.0,121.0,53.0,,,,,,,115.0,Unknown
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",,23.016834,72.625775,CO,1.0,129.0,4.0,,,,,,,128.0,Unknown
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",,23.016834,72.625775,OZONE,2.0,58.0,48.0,,,,,,,56.0,Unknown
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",,28.611281,77.237738,NO2,16.0,132.0,70.0,,,,,,,116.0,Unknown
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",,28.611281,77.237738,NH3,14.0,18.0,15.0,,,,,,,4.0,Unknown
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",,28.636429,77.201067,PM2.5,88.0,321.0,157.0,,,,,,,233.0,Very Poor
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",,28.636429,77.201067,NO2,31.0,81.0,54.0,,,,,,,50.0,Unknown
India,Delhi,Delhi,"Mundka, Delhi - DPCC",,28.684678,77.076574,OZONE,22.0,88.0,78.0,,,,,,,66.0,Unknown
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,PM2.5,67.0,167.0,108.0,,,,,,,100.0,Poor
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",,28.594004,76.909423,SO2,33.0,76.0,49.0,,,,,,,43.0,Unknown
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",,28.594004,76.909423,CO,39.0,71.0,46.0,,,,,,,32.0,Unknown
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",,22.320153,73.216285,CO,74.0,103.0,81.0,,,,,,,29.0,Unknown
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",,20.362421,72.918013,PM10,79.0,119.0,92.0,,,,,,,40.0,Satisfactory
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",,20.362421,72.918013,SO2,18.0,23.0,21.0,,,,,,,5.0,Unknown
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",,22.969611,72.6435,PM2.5,40.0,254.0,108.0,,,,,,,214.0,Poor
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",,22.969611,72.6435,NO2,36.0,76.0,62.0,,,,,,,40.0,Unknown
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",,30.379589,76.778328,NH3,7.0,8.0,8.0,,,,,,,1.0,Unknown
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",,30.379589,76.778328,CO,21.0,48.0,30.0,,,,,,,27.0,Unknown
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",,23.041137,72.456691,OZONE,8.0,79.0,63.0,,,,,,,71.0,Unknown
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",,21.613267,73.010555,NH3,5.0,6.0,6.0,,,,,,,1.0,Unknown
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",,21.613267,73.010555,SO2,23.0,31.0,26.0,,,,,,,8.0,Unknown
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",,21.613267,73.010555,OZONE,8.0,35.0,33.0,,,,,,,27.0,Unknown
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",,21.755417,72.139056,NO2,61.0,83.0,71.0,,,,,,,22.0,Unknown
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",,21.755417,72.139056,SO2,5.0,8.0,7.0,,,,,,,3.0,Unknown
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",,23.163798,72.677768,CO,7.0,57.0,23.0,,,,,,,50.0,Unknown
India,Delhi,Delhi,"Narela, Delhi - DPCC",,28.822836,77.101981,PM2.5,40.0,337.0,138.0,,,,,,,297.0,Very Poor
